,traveller_unique_ID,Passage_unique_ID,passage_timestamp,air_mode,referral_to_secondary_ind,location_code,loc_encode,last_90d_air_passage_count,last_90d_referral_count,last_90d_location_count
0,G,13762,2014-04-01T04:57:38Z,False,0,L2,1,0.0,0.0,0.0
1,G,13763,2014-04-01T13:24:51Z,False,0,L2,1,0.0,0.0,1.0
2,F,13764,2014-04-01T14:52:08Z,False,0,L1,0,0.0,0.0,0.0
3,G,13765,2014-04-01T18:59:01Z,False,0,L5,4,0.0,0.0,1.0
4,E,13766,2014-04-01T20:16:57Z,True,0,L3,2,0.0,0.0,0.0
5,J,13767,2014-04-01T20:51:33Z,False,0,L4,3,0.0,0.0,0.0
6,G,13768,2014-04-01T23:53:02Z,False,0,L3,2,0.0,0.0,2.0
7,F,13769,2014-04-02T00:11:22Z,False,0,L1,0,0.0,0.0,1.0
8,J,13770,2014-04-02T03:19:36Z,False,0,L3,2,0.0,0.0,1.0
9,D,13771,2014-04-02T03:49:42Z,True,0,L3,2,0.0,0.0,0.0
10,J,13772,2014-04-02T12:27:29Z,False,0,L4,3,0.0,0.0,2.0
11,G,13773,2014-04-02T13:38:22Z,False,0,L3,2,0.0,0.0,3.0
12,J,13774,2014-04-02T13:51:37Z,False,0,L2,1,0.0,0.0,2.0
13,F,13775,2014-04-02T14:55:11Z,False,0,L1,0,0.0,0.0,1.0
14,J,13776,2014-04-02T18:08:32Z,False,0,L4,3,0.0,0.0,3.0
15,F,13777,2014-04-02T18:16:08Z,False,0,L2,1,0.0,0.0,1.0
16,G,13778,2014-04-02T20:21:26Z,False,0,L6,5,0.0,0.0,3.0
17,J,13779,2014-04-02T21:30:12Z,False,0,L1,0,0.0,0.0,3.0
18,J,13780,2014-04-02T22:41:44Z,False,0,L4,3,0.0,0.0,4.0
19,E,13781,2014-04-03T01:09:35Z,True,0,L4,3,1.0,0.0,1.0
20,G,13782,2014-04-03T04:25:00Z,False,0,L2,1,0.0,0.0,4.0
21,G,13783,2014-04-03T04:55:29Z,False,0,L1,0,0.0,0.0,4.0
22,G,13784,2014-04-03T13:39:08Z,False,0,L6,5,0.0,0.0,5.0
23,F,13785,2014-04-03T14:58:02Z,False,0,L2,1,0.0,0.0,2.0
24,J,13786,2014-04-03T17:03:46Z,False,0,L1,0,0.0,0.0,4.0
25,E,13787,2014-04-03T19:41:54Z,True,0,L4,3,2.0,0.0,2.0
26,I,13788,2014-04-03T19:59:05Z,False,0,L1,0,0.0,0.0,0.0
27,B,13789,2014-04-03T22:33:17Z,True,0,L2,1,0.0,0.0,0.0
28,G,13790,2014-04-03T22:45:11Z,False,0,L4,3,0.0,0.0,5.0
29,F,13791,2014-04-03T23:20:17Z,False,0,L5,4,0.0,0.0,2.0
30,G,13792,2014-04-04T01:18:58Z,False,0,L3,2,0.0,0.0,6.0
31,J,13793,2014-04-04T12:23:38Z,False,0,L5,4,0.0,0.0,4.0
32,J,13794,2014-04-04T13:22:06Z,False,0,L1,0,0.0,0.0,5.0
33,F,13795,2014-04-04T14:51:32Z,False,0,L3,2,0.0,0.0,3.0
34,B,13796,2014-04-04T17:58:02Z,True,1,L1,0,1.0,0.0,1.0
35,J,13797,2014-04-04T19:00:10Z,False,0,L5,4,0.0,0.0,5.0
36,G,13798,2014-04-04T19:18:31Z,False,0,L1,0,0.0,0.0,6.0
37,J,13799,2014-04-04T21:33:41Z,False,0,L1,0,0.0,0.0,5.0
