,traveller_unique_ID,Passage_unique_ID,passage_timestamp,air_mode,referral_to_secondary_ind,location_code,loc_encode,last_90d_air_passage_count,last_90d_referral_count,last_90d_location_count,passage_date,passage_date_month,month
0,G,13762,2014-04-01T04:57:38Z,False,0,L2,1,0.0,0.0,0.0,2014-04-01,4,4 April
1,G,13763,2014-04-01T13:24:51Z,False,0,L2,1,0.0,0.0,1.0,2014-04-01,4,4 April
2,F,13764,2014-04-01T14:52:08Z,False,0,L1,0,0.0,0.0,0.0,2014-04-01,4,4 April
3,G,13765,2014-04-01T18:59:01Z,False,0,L5,4,0.0,0.0,1.0,2014-04-01,4,4 April
4,E,13766,2014-04-01T20:16:57Z,True,0,L3,2,0.0,0.0,0.0,2014-04-01,4,4 April
5,J,13767,2014-04-01T20:51:33Z,False,0,L4,3,0.0,0.0,0.0,2014-04-01,4,4 April
6,G,13768,2014-04-01T23:53:02Z,False,0,L3,2,0.0,0.0,2.0,2014-04-01,4,4 April
7,F,13769,2014-04-02T00:11:22Z,False,0,L1,0,0.0,0.0,1.0,2014-04-02,4,4 April
8,J,13770,2014-04-02T03:19:36Z,False,0,L3,2,0.0,0.0,1.0,2014-04-02,4,4 April
9,D,13771,2014-04-02T03:49:42Z,True,0,L3,2,0.0,0.0,0.0,2014-04-02,4,4 April
10,J,13772,2014-04-02T12:27:29Z,False,0,L4,3,0.0,0.0,2.0,2014-04-02,4,4 April
11,G,13773,2014-04-02T13:38:22Z,False,0,L3,2,0.0,0.0,3.0,2014-04-02,4,4 April
12,J,13774,2014-04-02T13:51:37Z,False,0,L2,1,0.0,0.0,2.0,2014-04-02,4,4 April
13,F,13775,2014-04-02T14:55:11Z,False,0,L1,0,0.0,0.0,1.0,2014-04-02,4,4 April
14,J,13776,2014-04-02T18:08:32Z,False,0,L4,3,0.0,0.0,3.0,2014-04-02,4,4 April
15,F,13777,2014-04-02T18:16:08Z,False,0,L2,1,0.0,0.0,1.0,2014-04-02,4,4 April
16,G,13778,2014-04-02T20:21:26Z,False,0,L6,5,0.0,0.0,3.0,2014-04-02,4,4 April
17,J,13779,2014-04-02T21:30:12Z,False,0,L1,0,0.0,0.0,3.0,2014-04-02,4,4 April
18,J,13780,2014-04-02T22:41:44Z,False,0,L4,3,0.0,0.0,4.0,2014-04-02,4,4 April
19,E,13781,2014-04-03T01:09:35Z,True,0,L4,3,1.0,0.0,1.0,2014-04-03,4,4 April
20,G,13782,2014-04-03T04:25:00Z,False,0,L2,1,0.0,0.0,4.0,2014-04-03,4,4 April
